date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:06:00	16852/16852	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2241d4-58cec4310431a%22	https://jdstrata.com.au/wp-content/themes/jupiter/assets/stylesheet/fonts/woocommerce/font.eot	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/themes/jupiter/assets/stylesheet/fonts/woocommerce/font.eot	(from https://jdstrata.com.au/)
00:06:00	16852/16852	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2241d4-58cec4310431a%22	https://jdstrata.com.au/wp-content/themes/jupiter/assets/stylesheet/fonts/woocommerce/font.eot?	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/themes/jupiter/assets/stylesheet/fonts/woocommerce/fontd41d.eot	(from https://jdstrata.com.au/)
00:06:00	16748/16748	---M--	200	added ('OK')	text/plain	etag:%22416c-58cec431046f2%22	https://jdstrata.com.au/wp-content/themes/jupiter/assets/stylesheet/fonts/woocommerce/font.woff	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/themes/jupiter/assets/stylesheet/fonts/woocommerce/font.woff	(from https://jdstrata.com.au/)
00:06:01	16672/16672	---M--	200	added ('OK')	text/plain	etag:%224120-58cec43105298%22	https://jdstrata.com.au/wp-content/themes/jupiter/assets/stylesheet/fonts/woocommerce/font.ttf	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/themes/jupiter/assets/stylesheet/fonts/woocommerce/font.ttf	(from https://jdstrata.com.au/)
00:06:01	46552/46552	---M--	200	added ('OK')	image/svg+xml	etag:%22b5d8-58cec43104ec4%22	https://jdstrata.com.au/wp-content/themes/jupiter/assets/stylesheet/fonts/woocommerce/font.svg	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/themes/jupiter/assets/stylesheet/fonts/woocommerce/font.svg	(from https://jdstrata.com.au/)
00:06:01	1582/1582	---M--	200	added ('OK')	image/jpeg	etag:%2262e-58cec424b502a%22	https://jdstrata.com.au/wp-content/uploads/2019/02/email-icon.jpg	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/uploads/2019/02/email-icon.jpg	(from https://jdstrata.com.au/)
00:06:01	5595/5595	---M-Z	200	added ('OK')	text/css	etag:%2215db-58cec4295de61%22	https://jdstrata.com.au/wp-content/themes/jupiter/header-builder/includes/assets/css/mkhb-render.css?ver=6.1.6	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/themes/jupiter/header-builder/includes/assets/css/mkhb-renderc098.css	(from https://jdstrata.com.au/)
00:06:01	1855/1855	---M-Z	200	added ('OK')	text/css	etag:%2273f-58cec4295e24d%22	https://jdstrata.com.au/wp-content/themes/jupiter/header-builder/includes/assets/css/mkhb-row.css?ver=6.1.6	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/themes/jupiter/header-builder/includes/assets/css/mkhb-rowc098.css	(from https://jdstrata.com.au/)
00:06:02	4559/4559	---M-Z	200	added ('OK')	text/css	etag:%2211cf-58cec4295e255%22	https://jdstrata.com.au/wp-content/themes/jupiter/header-builder/includes/assets/css/mkhb-column.css?ver=6.1.6	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/themes/jupiter/header-builder/includes/assets/css/mkhb-columnc098.css	(from https://jdstrata.com.au/)
00:06:02	484758/484758	---M-Z	200	added ('OK')	text/css	etag:%2276596-58cec427d1e55%22	https://jdstrata.com.au/wp-content/plugins/js_composer_theme/assets/css/js_composer.min.css?ver=5.5.5	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/plugins/js_composer_theme/assets/css/js_composer.min24b2.css	(from https://jdstrata.com.au/)
00:06:02	38992/38992	---M-Z	200	added ('OK')	text/css	etag:%229850-60044cc31bd7d%22	https://jdstrata.com.au/wp-content/uploads/mk_assets/theme-options-production-1689145343.css?ver=1689145336	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/uploads/mk_assets/theme-options-production-16891453433325.css	(from https://jdstrata.com.au/)
00:06:02	12504/12504	---M-Z	200	added ('OK')	text/javascript	etag:%2230d8-58cec43144e2c%22	https://jdstrata.com.au/wp-content/themes/jupiter/assets/js/plugins/wp-enqueue/min/webfontloader.js?ver=6.0.5	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/themes/jupiter/assets/js/plugins/wp-enqueue/min/webfontloader52c7.js	(from https://jdstrata.com.au/)
00:06:03	48688/48688	---M-Z	200	added ('OK')	text/javascript	etag:%22be30-58cec4263e14a%22	https://jdstrata.com.au/wp-content/plugins/ultimate-form-builder/js/fileuploader.js?ver=1.1.9	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/plugins/ultimate-form-builder/js/fileuploaderc5c9.js	(from https://jdstrata.com.au/)
00:06:03	89521/89521	---M-Z	200	added ('OK')	text/javascript	etag:%2215db1-5fbd506decd7e%22	https://jdstrata.com.au/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-includes/js/jquery/jquery.minaf6c.js	(from https://jdstrata.com.au/)
00:06:03	11224/11224	---M-Z	200	added ('OK')	text/javascript	etag:%222bd8-5fbd506da1e3a%22	https://jdstrata.com.au/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://jdstrata.com.au/)
00:06:03	9280/9280	---M-Z	200	added ('OK')	text/javascript	etag:%222440-58cec4263d59d%22	https://jdstrata.com.au/wp-content/plugins/ultimate-form-builder/js/jquery.selectbox-0.2.min.js?ver=1.1.9	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/plugins/ultimate-form-builder/js/jquery.selectbox-0.2.minc5c9.js	(from https://jdstrata.com.au/)
00:06:04	20715/20715	---M-Z	200	added ('OK')	text/javascript	etag:%2250eb-5fbd506d3446b%22	https://jdstrata.com.au/wp-includes/js/jquery/ui/core.min.js?ver=1.13.1	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-includes/js/jquery/ui/core.min0028.js	(from https://jdstrata.com.au/)
00:06:04	3411/3411	---M-Z	200	added ('OK')	text/javascript	etag:%22d53-5fbd506d8da13%22	https://jdstrata.com.au/wp-includes/js/jquery/ui/mouse.min.js?ver=1.13.1	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-includes/js/jquery/ui/mouse.min0028.js	(from https://jdstrata.com.au/)
00:06:04	10751/10751	---M-Z	200	added ('OK')	text/javascript	etag:%2229ff-5fbd506d89b82%22	https://jdstrata.com.au/wp-includes/js/jquery/ui/slider.min.js?ver=1.13.1	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-includes/js/jquery/ui/slider.min0028.js	(from https://jdstrata.com.au/)
00:06:04	1291/1291	---M-Z	200	added ('OK')	text/javascript	etag:%2250b-58cec4263e141%22	https://jdstrata.com.au/wp-content/plugins/ultimate-form-builder/js/jquery-ui-touchpad.js?ver=1.1.9	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/plugins/ultimate-form-builder/js/jquery-ui-touchpadc5c9.js	(from https://jdstrata.com.au/)
00:06:05	36743/36743	---M-Z	200	added ('OK')	text/javascript	etag:%228f87-5fbd506d6130a%22	https://jdstrata.com.au/wp-includes/js/jquery/ui/datepicker.min.js?ver=1.13.1	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-includes/js/jquery/ui/datepicker.min0028.js	(from https://jdstrata.com.au/)
00:06:05	31839/31839	---M-Z	200	added ('OK')	text/javascript	etag:%227c5f-58cec4263d977%22	https://jdstrata.com.au/wp-content/plugins/ultimate-form-builder/js/frontend.js?ver=1.1.9	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/plugins/ultimate-form-builder/js/frontendc5c9.js	(from https://jdstrata.com.au/)
00:06:07	17211/17211	---MC-	200	added ('OK')	application/json	date:Mon,%2028%20Aug%202023%2014:06:05%20GMT	https://jdstrata.com.au/wp-json/wp/v2/pages/15	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-json/wp/v2/pages/15.json	(from https://jdstrata.com.au/)
00:06:08	163789/163789	---MC-	200	added ('OK')	application/json	date:Mon,%2028%20Aug%202023%2014:06:05%20GMT	https://jdstrata.com.au/wp-json/	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-json/index.html	(from https://jdstrata.com.au/)
00:06:08	1045/1045	---M-Z	200	added ('OK')	text/xml	etag:%22415-5fbd50745e0b8%22	https://jdstrata.com.au/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-includes/wlwmanifest.xml	(from https://jdstrata.com.au/)
00:06:09	2435/2435	---MC-	200	added ('OK')	application/json	date:Mon,%2028%20Aug%202023%2014:06:08%20GMT	https://jdstrata.com.au/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fjdstrata.com.au%2F	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-json/oembed/1.0/embedc1d4.json	(from https://jdstrata.com.au/)
00:06:10	2503/2503	---M-Z	200	added ('OK')	text/xml	date:Mon,%2028%20Aug%202023%2014:06:09%20GMT	https://jdstrata.com.au/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fjdstrata.com.au%2F&format=xml	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-json/oembed/1.0/embed043e	(from https://jdstrata.com.au/)
00:06:10	5499/5499	---M--	200	added ('OK')	image/png	etag:%22157b-58cec4254be40%22	https://jdstrata.com.au/wp-content/uploads/2018/11/jdss-logo.png	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/uploads/2018/11/jdss-logo.png	(from https://jdstrata.com.au/)
00:06:11	38097/38097	---M--	200	added ('OK')	image/jpeg	etag:%2294d1-5e873321c8131%22	https://jdstrata.com.au/wp-content/uploads/2022/09/49555218292_7b1b8f6729_o-e1662956343755.jpg	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/uploads/2022/09/49555218292_7b1b8f6729_o-e1662956343755.jpg	(from https://jdstrata.com.au/)
00:06:11	2545/2545	---M--	200	added ('OK')	image/gif	etag:%229f1-603564d35fabe%22	https://jdstrata.com.au/wp-content/plugins/wp-counter-up/public/assets/img/loader.gif	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/plugins/wp-counter-up/public/assets/img/loader.gif	(from https://jdstrata.com.au/)
00:06:12	99268/99268	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2014:06:10%20GMT	https://jdstrata.com.au/about/	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/about/index.html	(from https://jdstrata.com.au/)
00:06:12	780/780	---M--	200	added ('OK')	image/png	etag:%2230c-58cedcf6d988a%22	http://jdstrata.com.au/wp-content/uploads/bfi_thumb/dummy-transparent-oabig4e42c9ppvp7a4bzrvlnahj7aped0965gpyn58.png	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/uploads/bfi_thumb/dummy-transparent-oabig4e42c9ppvp7a4bzrvlnahj7aped0965gpyn58.png	(from https://jdstrata.com.au/)
00:06:12	83606/83606	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2014:06:11%20GMT	https://jdstrata.com.au/our-fee-structure/	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/our-fee-structure/index.html	(from https://jdstrata.com.au/)
00:06:12	112564/112564	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2014:06:11%20GMT	https://jdstrata.com.au/our-services/	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/our-services/index.html	(from https://jdstrata.com.au/)
00:06:13	78872/78872	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2014:06:11%20GMT	https://jdstrata.com.au/developer-services/	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/developer-services/index.html	(from https://jdstrata.com.au/)
00:06:13	191335/191335	---M--	200	added ('OK')	image/jpeg	etag:%222eb67-5fb7b6f24dfbf%22	https://jdstrata.com.au/wp-content/uploads/2023/05/4528478-10.jpeg	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/uploads/2023/05/4528478-10.jpg	(from https://jdstrata.com.au/)
00:06:13	225060/225060	---M--	200	added ('OK')	image/jpeg	etag:%2236f24-58cec42467db7%22	https://jdstrata.com.au/wp-content/uploads/2019/01/32-henry-street-01.jpg	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/uploads/2019/01/32-henry-street-01.jpg	(from https://jdstrata.com.au/)
00:06:14	393751/393751	---M--	200	added ('OK')	image/jpeg	etag:%2260217-58cec42463f31%22	https://jdstrata.com.au/wp-content/uploads/2019/01/34-pakenham-street-02.jpg	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/uploads/2019/01/34-pakenham-street-02.jpg	(from https://jdstrata.com.au/)
00:06:14	75692/75692	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2014:06:12%20GMT	https://jdstrata.com.au/consultancy-services/	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/consultancy-services/index.html	(from https://jdstrata.com.au/)
00:06:15	97031/97031	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2014:06:13%20GMT	https://jdstrata.com.au/request-a-quote/	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/request-a-quote/index.html	(from https://jdstrata.com.au/)
00:06:15	254474/254474	---M--	200	added ('OK')	image/jpeg	etag:%223e20a-58cec42471616%22	https://jdstrata.com.au/wp-content/uploads/2019/01/arundel-court-02.jpg	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/uploads/2019/01/arundel-court-02.jpg	(from https://jdstrata.com.au/)
00:06:15	323651/323651	---M--	200	added ('OK')	image/jpeg	etag:%224f043-58cec4246a0da%22	https://jdstrata.com.au/wp-content/uploads/2019/01/1-james-street-02.jpg	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/uploads/2019/01/1-james-street-02.jpg	(from https://jdstrata.com.au/)
00:06:16	180753/180753	---M--	200	added ('OK')	image/jpeg	etag:%222c211-5e964d1df6a0a%22	https://jdstrata.com.au/wp-content/uploads/2022/09/7henderson.jpeg	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/uploads/2022/09/7henderson.jpg	(from https://jdstrata.com.au/)
00:06:17	76483/76483	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2014:06:15%20GMT	https://jdstrata.com.au/education/	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/education/index.html	(from https://jdstrata.com.au/)
00:06:17	439670/439670	---M--	200	added ('OK')	image/jpeg	etag:%226b576-5f36251e5dd07%22	https://jdstrata.com.au/wp-content/uploads/2022/09/evermore1.jpg	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/uploads/2022/09/evermore1.jpg	(from https://jdstrata.com.au/)
00:06:18	76253/76253	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2014:06:15%20GMT	https://jdstrata.com.au/strata-reforms/	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/strata-reforms/index.html	(from https://jdstrata.com.au/)
00:06:18	82162/82162	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2014:06:17%20GMT	https://jdstrata.com.au/our-services/sustainability-in-strata/	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/our-services/sustainability-in-strata/index.html	(from https://jdstrata.com.au/)
00:06:19	357925/357925	---M--	200	added ('OK')	image/jpeg	etag:%2257625-58cec42467203%22	https://jdstrata.com.au/wp-content/uploads/2019/01/backshall-village-02.jpg	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/uploads/2019/01/backshall-village-02.jpg	(from https://jdstrata.com.au/)
00:06:19	107502/107502	---M--	200	added ('OK')	image/jpeg	etag:%221a3ee-5e964937e195b%22	https://jdstrata.com.au/wp-content/uploads/2022/09/quarry1-e1663993064224.jpeg	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/uploads/2022/09/quarry1-e1663993064224.jpg	(from https://jdstrata.com.au/)
00:06:19	336386/336386	---M--	200	added ('OK')	image/jpeg	etag:%2252202-58cec424b0211%22	https://jdstrata.com.au/wp-content/uploads/2019/02/9-healy-road-07.jpg	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/uploads/2019/02/9-healy-road-07.jpg	(from https://jdstrata.com.au/)
00:06:19	2852/2852	---M--	200	added ('OK')	image/png	etag:%22b24-58cec424898c6%22	https://jdstrata.com.au/wp-content/uploads/2019/02/jdss-footer-logo.png	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/uploads/2019/02/jdss-footer-logo.png	(from https://jdstrata.com.au/)
00:06:20	4286182/4286182	---M--	200	added ('OK')	image/png	etag:%224166e6-5fb7b838f2cec%22	https://jdstrata.com.au/wp-content/uploads/2019/01/screenshot-2023-05-12-at-5.12.53-pm.png	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/uploads/2019/01/screenshot-2023-05-12-at-5.12.53-pm.png	(from https://jdstrata.com.au/)
00:06:20	60093/60093	---M--	200	added ('OK')	application/pdf	etag:%22eabd-58ddc5ec729b6%22	https://jdstrata.com.au/wp-content/uploads/2019/07/privacy-policy-20191982.pdf	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/uploads/2019/07/privacy-policy-20191982.pdf	(from https://jdstrata.com.au/)
00:06:20	87271/87271	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2014:06:18%20GMT	https://jdstrata.com.au/emergency/	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/emergency/index.html	(from https://jdstrata.com.au/)
00:06:20	106565/106565	---M-Z	200	added ('OK')	text/css	etag:%221a045-5e96597391a5d%22	https://jdstrata.com.au/wp-content/plugins/wp-counter-up-pro/public/assets/css/wp-counter-up-public.min.css?ver=1.0.0	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/plugins/wp-counter-up-pro/public/assets/css/wp-counter-up-public.min8a54.css	(from https://jdstrata.com.au/)
00:06:20	74266/74266	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2014:06:19%20GMT	https://jdstrata.com.au/contractors/	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/contractors/index.html	(from https://jdstrata.com.au/)
00:06:20	6481/6481	---M-Z	200	added ('OK')	text/javascript	etag:%221951-58cec4296113a%22	https://jdstrata.com.au/wp-content/themes/jupiter/header-builder/includes/assets/js/mkhb-render.js?ver=6.1.6	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/themes/jupiter/header-builder/includes/assets/js/mkhb-renderc098.js	(from https://jdstrata.com.au/)
00:06:21	283019/283019	---MCZ	200	added ('OK')	text/javascript	etag:%224518b-58cec43136b9a%22	https://jdstrata.com.au/wp-content/themes/jupiter/assets/js/min/full-scripts.6.1.6.js?ver=1562321249	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/themes/jupiter/assets/js/min/full-scripts.6.1.63879.js	(from https://jdstrata.com.au/)
